regionId: 2015654046, index: 1, origin: -1.2243865181766023, 3.8859831643380014, 0.5060479763675579, normal: 0.096358073806068, -0.8993171161924424, 0.4265487617326932, concave hull size: 61, number of convex polygons: 3, [10, 9, 5]
regionId: 1685546468, index: 1, origin: -1.0964656715199952, 1.0827997929922377, 0.48119008364805926, normal: 0.325072293974559, -0.8452125485499604, 0.4241977739967512, concave hull size: 56, number of convex polygons: 2, [15, 8]
regionId: 1039137221, index: 1, origin: -0.2268423536627041, 1.1573138610159406, -0.006673579155736277, normal: 0.007218562989339703, 0.005449987318343779, 0.9999590941566554, concave hull size: 188, number of convex polygons: 10, [14, 10, 6, 8, 11, 8, 11, 7, 10, 4]
regionId: 417366913, index: 1, origin: 0.6810698282968535, 1.8075311848704734, 0.457819792184799, normal: 0.3441604715446929, -0.8370075432722601, 0.42540797163601685, concave hull size: 85, number of convex polygons: 6, [9, 6, 7, 11, 8, 8]
regionId: 580915867, index: 1, origin: -0.7050835832323832, 1.5197174367210677, 0.4529096922556275, normal: 0.934565211926099, 0.35560551867670764, -0.011514327778726186, concave hull size: 40, number of convex polygons: 3, [9, 8, 7]
regionId: 1670990854, index: 1, origin: -1.1988045475559839, 1.306450667535105, 0.8172045922663899, normal: 0.3381105060706468, -0.9404756657638523, 0.0344500767878632, concave hull size: 18, number of convex polygons: 1, [12]
regionId: 333314289, index: 1, origin: 0.28959275296909615, 1.913985290735998, 0.7995427560008475, normal: 0.36012322429489607, -0.932614435632043, 0.023271823610833714, concave hull size: 18, number of convex polygons: 1, [10]
regionId: 1512988498, index: 1, origin: -1.2593010988228464, 4.1103293783853525, 0.8148661072303123, normal: 0.09110082947791266, -0.9947425141313057, 0.04677573567743732, concave hull size: 23, number of convex polygons: 1, [12]
regionId: 439608567, index: 1, origin: -0.23443623759818277, 1.7712572153519701, 0.728771166117103, normal: -0.9229355851001753, -0.38488596444262885, 0.007259485578498426, concave hull size: 23, number of convex polygons: 2, [6, 8]
regionId: 297634000, index: 1, origin: -0.18214899565712858, 1.6254293486416564, 0.09175512854258458, normal: -0.9257364531183376, -0.37674799574796486, 0.03275617602485448, concave hull size: 19, number of convex polygons: 1, [7]
regionId: 240275514, index: 1, origin: 0.04549592934304573, 1.6170080775120226, 0.545627929538977, normal: 0.060270338060870364, -0.9124849344034022, 0.404646426941901, concave hull size: 23, number of convex polygons: 2, [9, 7]
regionId: 1054386674, index: 1, origin: -1.9186473759236151, 1.2440202296883975, 1.090701364808612, normal: 0.9659285586572032, -0.2426611719294064, 0.08998652792649131, concave hull size: 11, number of convex polygons: 1, [8]
regionId: 1934139411, index: 1, origin: 0.43733760269720157, 1.5272130159596309, 0.03292872597560733, normal: 0.37976934116003624, -0.9243821437693845, -0.03595691581864094, concave hull size: 17, number of convex polygons: 1, [11]
regionId: 1472182954, index: 1, origin: 1.309261638357681, 2.3299304855779672, 0.8124695864675558, normal: 0.36729033107996695, -0.9295843193497108, 0.031157758492927068, concave hull size: 15, number of convex polygons: 1, [10]
regionId: 1282919815, index: 1, origin: -1.2275809604958827, 3.6956075453853976, 0.06513477424084843, normal: 0.09377752658411735, -0.9774239692549279, 0.1893361028269755, concave hull size: 14, number of convex polygons: 1, [8]
regionId: 1471457964, index: 1, origin: -1.6413520664657577, 1.5951707118005867, 1.4143869078641191, normal: 0.9886920176668575, 0.14964681169887742, -0.009691540135554955, concave hull size: 26, number of convex polygons: 1, [9]
regionId: 1868062576, index: 1, origin: -1.0597099888103976, 0.913633087718928, 0.04120847764123161, normal: 0.35634020607272426, -0.9332932245495063, -0.04455799082132869, concave hull size: 18, number of convex polygons: 1, [8]
regionId: 195093825, index: 1, origin: -1.3163062801727876, 1.182686014358814, 0.684602058850802, normal: 0.9196187442184177, 0.35388114805414134, 0.17049779568669998, concave hull size: 8, number of convex polygons: 1, [7]
regionId: 292751339, index: 1, origin: -1.858425290608038, 3.8669747880407193, 0.8817501402291067, normal: 0.998029527190906, -0.06252885626724304, -0.005215840201505673, concave hull size: 45, number of convex polygons: 1, [12]
regionId: 1536433708, index: 1, origin: -2.088915251572306, 2.797221654120121, 1.2002612129723518, normal: 0.9483000970385552, -0.09979559114477775, 0.3012768924838597, concave hull size: 16, number of convex polygons: 1, [7]
regionId: 883721503, index: 1, origin: -1.7820772282008468, 2.635547173434291, 0.8363670228884134, normal: 0.969440958386165, 0.24357841473164457, 0.029219583845996766, concave hull size: 10, number of convex polygons: 1, [7]
regionId: 385232270, index: 1, origin: -2.080858210722606, 0.8004591731975476, 0.2509868039245097, normal: 0.2035730890248518, -0.9770970866006267, -0.061961930097821534, concave hull size: 9, number of convex polygons: 1, [6]
regionId: 1492807269, index: 1, origin: -1.9548112424090502, 0.8983280290849511, 0.1682736296352232, normal: 0.8923208760599446, -0.44267547351707726, -0.08832824742994028, concave hull size: 10, number of convex polygons: 1, [8]
regionId: 1585520444, index: 1, origin: -2.10735289309476, 2.6210398899542304, 1.0939556150823027, normal: 0.9693760561680124, -0.24556706176387003, 0.002622957264234671, concave hull size: 14, number of convex polygons: 1, [8]
regionId: 1566089623, index: 1, origin: -1.06705116848836, 1.431421924596545, 1.0557380990050302, normal: 0.07757192902248314, -0.23146783379919808, 0.9697449343740021, concave hull size: 21, number of convex polygons: 1, [7]
regionId: 1144319027, index: 1, origin: 0.7261742063009058, 3.8859086401143643, 0.8044803355150163, normal: 0.08696064955153408, -0.9962105921110318, -0.0015171009731795772, concave hull size: 13, number of convex polygons: 1, [11]
